"subtype","patient_idx","lppd"
"Group3_alpha",1,-1.17526058685013
"Group3_alpha",2,-1.26429359051246
"Group3_alpha",3,-1.35265256683085
"Group3_alpha",4,-0.473393886798915
"Group3_alpha",5,-1.75020536341561
"Group3_alpha",6,-1.91615071148497
"Group3_alpha",7,-0.525904801881335
"Group3_alpha",8,-0.683998824478798
"Group3_alpha",9,-0.537118819279759
"Group3_alpha",10,-1.15350052456947
"Group3_alpha",11,-0.442434227565425
"Group3_beta",1,-1.45135735589654
"Group3_beta",2,-0.899594965389891
"Group3_beta",3,-1.25137306455156
"Group3_beta",4,-1.19836411477475
"Group3_beta",5,-1.73388222167083
"Group3_gamma",1,-1.60418961068336
"Group3_gamma",2,-2.66919849000444
"Group3_gamma",3,-1.53310390490863
"Group3_gamma",4,-7.39300420618464
"Group3_gamma",5,-2.11057672398825
"Group3_gamma",6,-0.294129924625348
"Group4_alpha",1,-0.57794759475109
"Group4_alpha",2,-1.40506778034513
"Group4_alpha",3,-1.87138984572547
"Group4_alpha",4,-0.948188023694409
"Group4_alpha",5,-0.401346419582129
"Group4_alpha",6,-1.347764511054
"Group4_alpha",7,-0.93312354118573
"Group4_alpha",8,-2.18480910674328
"Group4_alpha",9,-1.61156132883335
"Group4_alpha",10,-0.972098483971839
"Group4_alpha",11,-1.02009737786244
"Group4_alpha",12,-1.20743062761801
"Group4_alpha",13,-0.581353355124445
"Group4_alpha",14,-0.468998475576334
"Group4_alpha",15,-0.911928886665629
"Group4_beta",1,-1.29295111436015
"Group4_beta",2,-1.77211250564181
"Group4_beta",3,-0.102180462403069
"Group4_beta",4,-0.557299521403968
"Group4_beta",5,-0.719865085413191
"Group4_beta",6,-0.551721301515673
"Group4_beta",7,-0.160574401804791
"Group4_beta",8,-1.20533814270596
"Group4_beta",9,-1.23278361117301
"Group4_beta",10,-0.0275100852984126
"Group4_beta",11,-0.422580171665454
"Group4_beta",12,-0.00248390705573284
"Group4_beta",13,-1.1494560635868
"Group4_beta",14,-0.369484801951579
"Group4_beta",15,-0.675367081091108
"Group4_beta",16,-0.0858611527894296
"Group4_beta",17,-0.125058010795607
"Group4_gamma",1,-1.42741176901394
"Group4_gamma",2,-2.75281796209457
"Group4_gamma",3,-0.990840316534589
"Group4_gamma",4,-1.06652845684959
"Group4_gamma",5,-1.1386392790539
"Group4_gamma",6,-0.516406936416862
"Group4_gamma",7,-1.43400129809518
"Group4_gamma",8,-1.08126706012449
"Group4_gamma",9,-0.270051704383244
"Group4_gamma",10,-1.58196763772115
"Group4_gamma",11,-1.28144981800304
"Group4_gamma",12,-2.12976241269393
"Group4_gamma",13,-0.770386898625869
"Group4_gamma",14,-0.669349203684777
"Group4_gamma",15,-0.604744949480831
"Group4_gamma",16,-2.23650476403209
"Group4_gamma",17,-1.62117741807811
"Group4_gamma",18,-2.0057608949973
"Group4_gamma",19,-2.6837885572763
"SHH_alpha",1,-0.545753010870545
"SHH_alpha",2,-1.15659881466091
"SHH_alpha",3,-1.63056698137568
"SHH_alpha",4,-1.2252684210079
"SHH_alpha",5,-4.63894176833931
"SHH_alpha",6,-0.575564633597132
"SHH_alpha",7,-0.347236524421845
"SHH_alpha",8,-0.24087602457042
"SHH_alpha",9,-1.44809794274412
"SHH_alpha",10,-1.10425591916549
"SHH_beta",1,-1.34771711877321
"SHH_beta",2,-1.88777617442527
"SHH_beta",3,-1.29708799229697
"SHH_beta",4,-0.612746407372523
"SHH_beta",5,-0.756906333051645
"SHH_delta",1,-1.27616497122377
"SHH_delta",2,-1.08986171759855
"SHH_delta",3,-1.9897094526795
"SHH_delta",4,-1.25672059855924
"SHH_delta",5,-1.47895809418987
"SHH_delta",6,-0.674866604024576
"SHH_delta",7,-0.985098360941003
"SHH_delta",8,-0.300604760985496
"SHH_delta",9,-0.743835965850117
"SHH_delta",10,-0.426156969368426
"SHH_delta",11,-1.25920316661098
"SHH_gamma",1,-1.82652274031328
"SHH_gamma",2,-1.93230433320082
"SHH_gamma",3,-1.6809141444052
"SHH_gamma",4,-1.32799374344657
"SHH_gamma",5,-0.806435439140738
"SHH_gamma",6,-0.627625410752596
"SHH_gamma",7,-0.98732813825647
"WNT_alpha",1,-1.20773716622848
"WNT_alpha",2,-1.14923283534258
"WNT_alpha",3,-1.14399686005592
"WNT_alpha",4,-1.17200329263514
"WNT_alpha",5,-1.65337073255695
"WNT_alpha",6,-1.55257555540825
"WNT_alpha",7,-0.680927137254353
"WNT_alpha",8,-2.19779679021615
"WNT_alpha",9,-0.899441346271782
"WNT_beta",1,-0.719054101808049
"WNT_beta",2,-0.417349242285019
"WNT_beta",3,-0.337165246867305
